algorithm,merged_id,merge_size,target_example_id,budget_tokens,timing_repeats,runtime_sec,relative_utility_to_exact,total_chunks,total_cost_tokens,selected_chunks,total_selected_cost,budget_utilization,compression_ratio,total_selected_utility,gold_support_total,gold_support_selected,gold_support_recall,exact_gold_support_coverage
exact_dp,merge_10_0,10,5ae143ed55429920d5234360,2000,1,0.09984629997052252,1.0,390.0,7732.0,163.0,2000.0,1.0,0.2586652871184687,36.311105863403874,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_0,10,5ae143ed55429920d5234360,2000,10,0.0002118998672813177,0.9992986102984164,390.0,7732.0,163.0,1997.0,0.9985,0.258277289187791,36.28563762769817,2.0,2.0,1.0,1.0
greedy_refine,merge_10_0,10,5ae143ed55429920d5234360,2000,10,0.008470600005239248,0.9999751956743107,390.0,7732.0,163.0,2000.0,1.0,0.2586652871184687,36.3102051909079,2.0,2.0,1.0,1.0
exact_dp,merge_10_0,10,5ae143ed55429920d5234360,4000,1,0.19299939996562898,1.0,390.0,7732.0,261.0,4000.0,1.0,0.5173305742369374,51.58082967524491,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_0,10,5ae143ed55429920d5234360,4000,10,0.00016389996744692326,0.9998906116480454,390.0,7732.0,261.0,3999.0,0.99975,0.5172012415933782,51.57518733329428,2.0,2.0,1.0,1.0
greedy_refine,merge_10_0,10,5ae143ed55429920d5234360,4000,10,0.006075300043448806,1.0,390.0,7732.0,261.0,4000.0,1.0,0.5173305742369374,51.58082967524491,2.0,2.0,1.0,1.0
exact_dp,merge_10_0,10,5ae143ed55429920d5234360,8000,1,0.4784271998796612,1.0,390.0,7732.0,389.0,7723.0,0.965375,0.9988360062079669,66.5335554837635,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_0,10,5ae143ed55429920d5234360,8000,10,0.0002006001304835081,1.0,390.0,7732.0,390.0,7732.0,0.9665,1.0,66.5335554837635,2.0,2.0,1.0,1.0
greedy_refine,merge_10_0,10,5ae143ed55429920d5234360,8000,10,0.0012351998593658209,1.0,390.0,7732.0,390.0,7732.0,0.9665,1.0,66.5335554837635,2.0,2.0,1.0,1.0
exact_dp,merge_10_1,10,5ae361605542994393b9e69b,2000,1,0.11309390002861619,1.0,500.0,10131.0,187.0,2000.0,1.0,0.19741387819563716,52.431191952894096,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_1,10,5ae361605542994393b9e69b,2000,10,0.00021830014884471893,0.9997389467386899,500.0,10131.0,187.0,1999.0,0.9995,0.19731517125653933,52.41750461924042,2.0,2.0,1.0,1.0
greedy_refine,merge_10_1,10,5ae361605542994393b9e69b,2000,10,0.010770999826490879,1.0,500.0,10131.0,187.0,2000.0,1.0,0.19741387819563716,52.431191952894096,2.0,2.0,1.0,1.0
exact_dp,merge_10_1,10,5ae361605542994393b9e69b,4000,1,0.34733269992284477,1.0,500.0,10131.0,289.0,4000.0,1.0,0.3948277563912743,75.82651227169245,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_1,10,5ae361605542994393b9e69b,4000,10,0.00025679985992610455,0.9990386266617336,500.0,10131.0,288.0,3992.0,0.998,0.3940381008784918,75.75361468446071,2.0,2.0,1.0,1.0
greedy_refine,merge_10_1,10,5ae361605542994393b9e69b,4000,10,0.010326999938115478,0.9999272123961113,500.0,10131.0,288.0,4000.0,1.0,0.3948277563912743,75.82099304155295,2.0,2.0,1.0,1.0
exact_dp,merge_10_1,10,5ae361605542994393b9e69b,8000,1,0.5857293999288231,1.0,500.0,10131.0,440.0,8000.0,1.0,0.7896555127825486,105.76352181685348,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_1,10,5ae361605542994393b9e69b,8000,10,0.0002513001672923565,0.9999749467916365,500.0,10131.0,440.0,8000.0,1.0,0.7896555127825486,105.76087210130414,2.0,2.0,1.0,1.0
greedy_refine,merge_10_1,10,5ae361605542994393b9e69b,8000,10,0.002702499972656369,0.9999749467916365,500.0,10131.0,440.0,8000.0,1.0,0.7896555127825486,105.76087210130414,2.0,2.0,1.0,1.0
exact_dp,merge_10_2,10,5ac19f405542991316484b5b,2000,1,0.0956148998811841,1.0,460.0,8910.0,177.0,2000.0,1.0,0.2244668911335578,51.87045322795404,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_2,10,5ac19f405542991316484b5b,2000,10,0.00022469996474683285,0.9984921531749681,460.0,8910.0,177.0,1994.0,0.997,0.22379349046015712,51.7922405297413,2.0,2.0,1.0,1.0
greedy_refine,merge_10_2,10,5ac19f405542991316484b5b,2000,10,0.009708500001579523,1.0,460.0,8910.0,177.0,2000.0,1.0,0.2244668911335578,51.87045322795404,2.0,2.0,1.0,1.0
exact_dp,merge_10_2,10,5ac19f405542991316484b5b,4000,1,0.2349886998999864,1.0,460.0,8910.0,283.0,4000.0,1.0,0.4489337822671156,73.72374972236683,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_2,10,5ac19f405542991316484b5b,4000,10,0.00020790006965398788,0.9999779673051854,460.0,8910.0,283.0,4000.0,1.0,0.4489337822671156,73.72212538948861,2.0,2.0,1.0,1.0
greedy_refine,merge_10_2,10,5ac19f405542991316484b5b,4000,10,0.0036134999245405197,0.9999779673051854,460.0,8910.0,283.0,4000.0,1.0,0.4489337822671156,73.72212538948861,2.0,2.0,1.0,1.0
